pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport,dport,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
336,2048,0,0,0,0,0,0,4,5,0,336,2,0,0,1,47772,0,0,255,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,316,2325,3,1,1,6,0,2882338817,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,308,1.7569819050709283,5,1
336,2048,0,0,0,0,0,0,4,5,0,336,2,0,0,0,47773,0,0,255,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,316,47781,1,1,1,6,0,2882338817,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,308,1.4667657390600737,17,1
117,34958,0,0,0,1,3,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,117,4.073677886272379,17,1
336,2048,0,0,0,0,0,0,4,5,0,336,2,0,0,1,47772,0,0,255,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,316,2325,3,1,1,6,0,2882338817,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,68,67,68,67,0,0,68,67,308,1.7569819050709283,5,1
95,34958,0,0,0,1,3,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,95,1.6023157210745844,3,1
95,34958,0,0,0,1,3,95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,95,1.6313145368868314,4,1
328,2048,0,0,0,0,0,0,4,5,192,328,2,0,0,43575,42503,0,0,64,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,308,10732,2,2,1,6,0,2882338817,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,67,68,67,68,0,0,67,68,300,1.8596746005783176,4,1
32,2048,0,0,0,0,0,0,4,6,0,32,2,0,0,2,12345,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,2.4056390622295662,4,1
328,2048,0,0,0,0,0,0,4,5,192,328,2,0,0,3905,16638,0,0,64,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,308,10732,2,2,1,6,0,2882338817,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,67,68,67,68,0,0,67,68,300,1.8596746005783176,4,1
117,34958,0,0,0,1,3,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,117,4.089918352339817,5,1
