pck_size,Ether_type,LLC_dsap,LLC_ssap,LLC_ctrl,EAPOL_version,EAPOL_type,EAPOL_len,IP_version,IP_ihl,IP_tos,IP_len,IP_flags,IP_Z,IP_MF,IP_id,IP_chksum,IP_DF,IP_frag,IP_ttl,IP_proto,IP_options,IP_add_count,ICMP_type,ICMP_code,ICMP_chksum,ICMP_id,ICMP_seq,ICMP_ts_ori,ICMP_ts_rx,ICMP_ts_tx,ICMP_ptr,ICMP_reserved,ICMP_length,ICMP_nexthopmtu,ICMP_unused,TCP_seq,TCP_ack,TCP_dataofs,TCP_reserved,TCP_flags,TCP_FIN,TCP_SYN,TCP_RST,TCP_PSH,TCP_ACK,TCP_URG,TCP_ECE,TCP_CWR,TCP_window,TCP_chksum,TCP_urgptr,TCP_options,UDP_len,UDP_chksum,DHCP_options,BOOTP_op,BOOTP_htype,BOOTP_hlen,BOOTP_hops,BOOTP_xid,BOOTP_secs,BOOTP_flags,BOOTP_sname,BOOTP_file,BOOTP_options,DNS_length,DNS_id,DNS_qr,DNS_opcode,DNS_aa,DNS_tc,DNS_rd,DNS_ra,DNS_z,DNS_ad,DNS_cd,DNS_rcode,DNS_qdcount,DNS_ancount,DNS_nscount,DNS_arcount,sport_class,dport_class,sport23,dport23,sport,dport,TCP_sport,TCP_dport,UDP_sport,UDP_dport,payload_bytes,entropy,Protocol,Label
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,64784,5500,1,0,64,6,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,3181484099,4110653422,8,0,4,0,0,0,0,1,0,0,0,3754,53380,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,33391,80,33391,0,0,0,0.0,1,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,31629,38655,1,0,64,6,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,3332727463,2973470282,8,0,4,0,0,0,0,1,0,0,0,3754,37828,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,35537,80,35537,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,62513,7771,1,0,64,6,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2908032007,2938717753,8,0,4,0,0,0,0,1,0,0,0,3754,3905,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,56111,80,56111,0,0,0,0.0,4,1
60,2048,0,0,0,0,0,0,4,5,0,60,3,0,0,0,4741,1,0,64,6,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1707755057,1514225583,10,0,3,0,1,0,0,1,0,0,0,28960,9330,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,80,3,80,54999,80,54999,0,0,0,0.0,4,1
94,2048,0,0,0,0,0,0,4,5,0,94,3,0,0,10354,59888,1,0,64,6,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1628520052,3133811078,8,0,6,1,0,0,1,1,0,0,0,3754,14803,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,38507,80,38507,0,0,42,3.601382162091293,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,14587,55697,1,0,64,6,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1101077651,1934364423,8,0,4,0,0,0,0,1,0,0,0,3754,55318,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,45760,80,45760,0,0,0,0.0,7,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,17284,53000,1,0,64,6,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2195910228,1150369814,8,0,4,0,0,0,0,1,0,0,0,3754,54994,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,43953,80,43953,0,0,0,0.0,4,1
52,2048,0,0,0,0,0,0,4,5,0,52,3,0,0,62037,8247,1,0,64,6,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,2567975959,3036253575,8,0,4,0,0,0,0,1,0,0,0,3754,46248,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,41943,80,41943,0,0,0,0.0,4,1
69,2048,0,0,0,0,0,0,4,5,0,69,3,0,0,12318,57949,1,0,64,6,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1226765583,1281929571,8,0,5,0,0,0,1,1,0,0,0,3754,1647,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,34586,80,34586,0,0,17,3.616874605956223,4,1
53,2048,0,0,0,0,0,0,4,5,0,53,3,0,0,21841,48442,1,0,64,6,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,978151052,2961191338,8,0,5,0,0,0,1,1,0,0,0,3754,27446,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,80,2,80,41757,80,41757,0,0,1,-0.0,4,1
